datetime,co,no2,o3,pm10,pm25,so2
2023-04-24 14:00:00+00:00,0.85,16.05,65.5,15.600000000000001,9.0,9.55
2023-05-16 06:00:00+00:00,0.65,6.1,65.2,19.45,7.9,11.649999999999999
2023-05-16 07:00:00+00:00,0.65,7.3,67.9,21.15,7.8,11.7
2023-05-16 09:00:00+00:00,0.7000000000000001,4.0,70.4,21.1,8.45,12.75
2023-05-16 10:00:00+00:00,0.65,5.4,63.0,20.8,9.45,13.05
2023-05-16 11:00:00+00:00,0.8999999999999999,7.45,49.75,15.75,11.1,11.4
2023-05-16 12:00:00+00:00,0.95,8.75,49.0,13.899999999999999,10.75,11.2
2023-05-16 13:00:00+00:00,0.8999999999999999,6.3,64.7,20.65,10.35,12.2
2023-05-16 14:00:00+00:00,0.8,3.7,73.2,23.0,9.75,12.2
2023-05-16 15:00:00+00:00,0.3,5.8,66.8,29.6,12.8,10.6
2023-05-16 16:00:00+00:00,0.4,6.1,58.5,20.9,10.05,12.600000000000001
2023-05-16 17:00:00+00:00,0.4,7.4,62.45,20.0,10.45,11.05
2023-05-16 19:00:00+00:00,,6.3,51.4,16.700000000000003,10.100000000000001,11.6
2023-05-16 21:00:00+00:00,2.1,12.3,49.0,12.4,9.5,13.1
2023-05-16 22:00:00+00:00,2.3,29.5,28.8,10.2,8.3,11.7
2023-05-16 23:00:00+00:00,,,33.0,8.9,7.2,11.9
2023-05-17 00:00:00+00:00,2.4,31.3,18.7,9.5,7.7,12.1
2023-05-17 01:00:00+00:00,2.5,25.0,21.3,10.4,8.5,12.4
2023-05-17 02:00:00+00:00,2.3,19.8,24.0,9.3,6.9,11.9
2023-05-17 03:00:00+00:00,2.1,11.6,32.4,8.2,6.0,11.8
2023-05-17 04:00:00+00:00,2.2,20.7,17.0,7.9,6.1,12.5
2023-05-17 05:00:00+00:00,2.2,20.5,19.0,8.0,5.9,12.4
2023-05-17 06:00:00+00:00,1.3,15.0,23.8,11.05,7.5,10.2
2023-05-17 07:00:00+00:00,1.15,11.2,45.2,13.8,8.35,12.6
